Change Component Footprint: Designator=Q1 Old Footprint=dpak New Footprint=sot-89
Change Component Comment : Designator=Q1 Old Comment=MJD31CQ New Comment=FCX495
Change component parameters: Designator = "Q1" ("Q1"); Footprint = "dpak"; UniqueID = "\ASFAODSL\BDXFHGIT" ("\ASFAODSL\BDXFHGIT")
Change component parameters (AddParameter): Name = "AEC Category"; Value = "Q101"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "AEC Qualified"; Value = "?"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Alternate Manufacturer"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Alternate PartNumber"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "Datasheet link"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "http://www.nexperia.com/documents/data_sheet/BSR13_BSR14.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "CompType"; Value = "BJT"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Green_EU RoHS"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Green_EU RoHS-2"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Green_Lifecycle"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Green_REACh"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "HfeMax"; Value = "300"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "IcRated_A"; Value = "0.8"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LatestRevisionDate"; Value = "2017-06-09"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Nexperia"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MountType"; Value = "SMT"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "NPN"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PackageReference"; Value = "SOT-23"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PartNumber"; Value = "BSR14"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PNP"; Value = "0"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Published"; Value = "2008-07-31"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Publisher"; Value = "Texas Instruments"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHS"; Value = "Y"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "SizeArea_mm2"; Value = "7.5"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "SizeAreaWB_mm2"; Value = "14"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "SizeX_mm"; Value = "2.5"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "SizeY_mm"; Value = "3"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "SizeZ_mm"; Value = "1.1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 2"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 3"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "568-6225-1-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 2"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 3"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "SymbolVersion"; Value = "2008-07-31"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "TaMax_C"; Value = "150"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "TaMin_C"; Value = "-65"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "U/M"; Value = "EA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "40 V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value1"; Value = "0.8 A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value2"; Value = "300"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Vceo_V"; Value = "40"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Vcesat1_V"; Value = "0.3"; VariantName = "[No Variations]"
