Change Footprint: Cannot match pads with new footprint in component :J2 Footprint:pheonix_7
Change Footprint: Cannot match pads with new footprint in component :J3 Footprint:pheonix_10
Change Component Footprint: Designator=Q2_1 Old Footprint=dpak New Footprint=sot-89
Change Component Footprint: Designator=Q2_2 Old Footprint=dpak New Footprint=sot-89
Change Component Footprint: Designator=Q2_3 Old Footprint=dpak New Footprint=sot-89
Change Component Footprint: Designator=Q2_4 Old Footprint=dpak New Footprint=sot-89
Change Component Footprint: Designator=Q2_5 Old Footprint=dpak New Footprint=sot-89
Change Component Footprint: Designator=Q2_6 Old Footprint=dpak New Footprint=sot-89
Change Component Footprint: Designator=Q2_7 Old Footprint=dpak New Footprint=sot-89
Change Component Footprint: Designator=Q2_8 Old Footprint=dpak New Footprint=sot-89
Change Component Footprint: Designator=Q2_9 Old Footprint=dpak New Footprint=sot-89
Change Component Footprint: Designator=Q2_10 Old Footprint=dpak New Footprint=sot-89
Change Component Footprint: Designator=Q2_11 Old Footprint=dpak New Footprint=sot-89
Change Component Footprint: Designator=Q2_12 Old Footprint=dpak New Footprint=sot-89
Change Component Footprint: Designator=Q2_13 Old Footprint=dpak New Footprint=sot-89
Change Component Footprint: Designator=Q2_14 Old Footprint=dpak New Footprint=sot-89
Change Component Footprint: Designator=Q2_15 Old Footprint=dpak New Footprint=sot-89
Change Component Footprint: Designator=Q2_16 Old Footprint=dpak New Footprint=sot-89
Change Component Comment : Designator=Q2_1 Old Comment=2SD882 New Comment=KTD1624
Change Component Comment : Designator=Q2_2 Old Comment=2SD882 New Comment=KTD1624
Change Component Comment : Designator=Q2_3 Old Comment=2SD882 New Comment=KTD1624
Change Component Comment : Designator=Q2_4 Old Comment=2SD882 New Comment=KTD1624
Change Component Comment : Designator=Q2_5 Old Comment=2SD882 New Comment=KTD1624
Change Component Comment : Designator=Q2_6 Old Comment=2SD882 New Comment=KTD1624
Change Component Comment : Designator=Q2_7 Old Comment=2SD882 New Comment=KTD1624
Change Component Comment : Designator=Q2_8 Old Comment=2SD882 New Comment=KTD1624
Change Component Comment : Designator=Q2_9 Old Comment=2SD882 New Comment=KTD1624
Change Component Comment : Designator=Q2_10 Old Comment=2SD882 New Comment=KTD1624
Change Component Comment : Designator=Q2_11 Old Comment=2SD882 New Comment=KTD1624
Change Component Comment : Designator=Q2_12 Old Comment=2SD882 New Comment=KTD1624
Change Component Comment : Designator=Q2_13 Old Comment=2SD882 New Comment=KTD1624
Change Component Comment : Designator=Q2_14 Old Comment=2SD882 New Comment=KTD1624
Change Component Comment : Designator=Q2_15 Old Comment=2SD882 New Comment=KTD1624
Change Component Comment : Designator=Q2_16 Old Comment=2SD882 New Comment=KTD1624
